"StationCode","Tag","dist_km"
"23-23-LSJ04","RBP",12.9047727214752
"23-23-LSJ05","RBP",13.0716774773064
"23-23-LSJ06","RBP",12.7855339059327
"23-23-LSR01","RBP",11.5796464556281
"23-23-LSR02","RBP",5.9118795026618
"23-23-LSR03","RBP",2.3920310216783
"23-23-SB01","RBP",19.3852813742386
"23-23-SB02","RBP",12.8953318805774
"23-23-SB03","RBP",36.292997820866
"23-23-SB05","RBP",12.355129855222
"23-23-SB06","RBP",25.0494949366117
"23-23-SB07","RBP",26.7994949366117
"23-23-SD01","RBP",44.94543648263
"23-23-SD03","RBP",28.6444696834423
"23-23-SD05","RBP",28.2944696834423
"23-23-SM01","RBP",36.6575685169859
"23-23-SM03","RBP",18.6873629022557
"23-23-SM06","RBP",34.8125937701554
"23-23-SSC01","RBP",37.2134559672905
"23-23-SSC02","RBP",19.5358910396795
"23-23-SSC03","RBP",28.1072113832393
"23-24-CS01","RBP",23.7986327394765
"23-24-CS02","RBP",18.1808657865101
"23-24-CS03","RBP",21.2314754519511
"23-24-LSJ01","RBP",9.14411254969542
"23-24-LSJ02","RBP",14.5494949366116
"23-24-LSJ03","RBP",12.2873629022557
"23-24-LSJ04","RBP",22.8080735803744
"23-24-LSJ05","RBP",10.1577164466275
"23-24-LSJ06","RBP",12.3423881554251
"23-24-LSR01","RBP",4.25979797464467
"23-24-LSR02","RBP",10.4518289963229
"23-24-LSR03","RBP",0.603553390593274
"23-24-SB01","RBP",14.9695959492893
"23-24-SB02","RBP",15.3501046020526
"23-24-SB03","RBP",34.7400540957138
"23-24-SB04","RBP",35.954520189781
"23-24-SB05","RBP",12.3539105243401
"23-24-SB06","RBP",31.380613254816
"23-24-SD01","RBP",33.6829473145273
"23-24-SD02","RBP",29.0480230740355
"23-24-SD03","RBP",26.2122366364086
"23-24-SD04","RBP",21.7116269709676
"23-24-SD05","RBP",23.8059920523572
"23-24-SM02","RBP",35.7125937701554
"23-24-SM03","RBP",38.7824422511387
"23-24-SM04","RBP",40.7880771697491
"23-24-SM05","RBP",33.5084307141212
"23-24-SM06","RBP",35.4182286887658
"23-24-SM07","RBP",42.0632034355962
"23-24-SSC01","RBP",49.8353859762909
"23-24-SSC02","RBP",42.5554869889687
"23-24-SSC03","RBP",35.3649278298667
"23-25-CS01","RBP",25.0871103705616
"23-25-CS04","RBP",21.1651803615609
"23-25-CS05","RBP",21.9273123959169
"23-25-LSJ01","RBP",24.0737590053236
"23-25-LSJ02","RBP",15.9325901807804
"23-25-LSJ03","RBP",11.6867532368147
"23-25-LSJ04","RBP",13.7654328932551
"23-25-LSJ05","RBP",10.4198484809835
"23-25-LSJ06","RBP",19.3539105243401
"23-25-LSR01","RBP",2.2642135623731
"23-25-LSR02","RBP",7.53111831820432
"23-25-LSR03","RBP",8.40893577750952
"23-25-LSR04","RBP",3.74411254969543
"23-25-LSR05","RBP",2.87842712474619
"23-25-LSR06","RBP",10.3260930650349
"23-25-SB01","RBP",34.4128463018496
"23-25-SB02","RBP",29.0628463018497
"23-25-SB03","RBP",35.5980230740355
"23-25-SB06","RBP",33.6045201897811
"23-25-SD01","RBP",35.6900540957139
"23-25-SD02","RBP",19.0195959492893
"23-25-SD03","RBP",19.9352813742386
"23-25-SD04","RBP",27.9572113832392
"23-25-SD05","RBP",19.5411688245431
"23-25-SM01","RBP",33.443354954613
"23-25-SM02","RBP",45.9294985259864
"23-25-SM03","RBP",34.2983802077823
"23-25-SSC01","RBP",58.6481276760878
"23-25-SSC02","RBP",43.0676190233246
"23-25-SSC03","RBP",28.8693434175953
"23-25-WD02","RBP",54.8699530830358
"23-25-WD03","RBP",53.4578210486798
"23-25-WD04","RBP",52.9918830920364
"23-26-CS01","RBP",19.0879725676967
"23-26-CS02","RBP",19.8708152801713
"23-26-CS03","RBP",25.0871103705616
"23-26-LSJ01","RBP",27.4708152801713
"23-26-LSJ02","RBP",11.7681240867132
"23-26-LSJ03","RBP",14.1118795026618
"23-26-LSJ04","RBP",17.6518289963229
"23-26-LSJ05","RBP",11.0817279836453
"23-26-LSJ06","RBP",10.6748737341529
"23-26-LSR01","RBP",11.4882250993908
"23-26-LSR02","RBP",9.75035713374681
"23-26-LSR03","RBP",1.59350288425444
"23-26-LSR04","RBP",2.90710678118655
"23-26-LSR05","RBP",4.46837661840736
"23-26-LSR06","RBP",9.91396103067891
"23-26-SB01","RBP",31.1193434175952
"23-26-SB02","RBP",27.9944696834423
"23-26-SB03","RBP",37.4379725676966
"23-26-SB05","RBP",33.3235064736295
"23-26-SB06","RBP",37.3651803615608
"23-26-SD01","RBP",17.4618795026618
"23-26-SD03","RBP",26.6036579926459
"23-26-SD04","RBP",29.9651803615609
"23-26-SD06","RBP",27.603048327205
"23-26-SD08","RBP",29.4814754519511
"23-26-SM01","RBP",Inf
"23-26-SM02","RBP",38.8182286887656
"23-26-SM03","RBP",33.7755880016466
"23-26-SSC01","RBP",34.9027957955108
"23-26-SSC02","RBP",51.9353859762909
"23-26-SSC03","RBP",59.5981276760878
"23-26-WD02","RBP",55.3856385079851
"23-26-WD03","RBP",49.4149278298664
"23-26-WD04","RBP",45.7956890143239
"23-27-CS01","RBP",22.2143181644258
"23-27-CS03","RBP",19.39152595829
"23-27-CS05","RBP",20.4737590053236
"23-27-LSJ01","RBP",8.11629509039023
"23-27-LSJ02","RBP",14.6595454429504
"23-27-LSJ03","RBP",25.9773123959169
"23-27-LSJ04","RBP",17.1325901807804
"23-27-LSJ05","RBP",11.7526911934581
"23-27-LSJ06","RBP",12.0716774773064
"23-27-LSR01","RBP",0.820710678118655
"23-27-LSR02","RBP",3.3198484809835
"23-27-LSR03","RBP",6.89325035256028
"23-27-LSR04","RBP",1.83994949366117
"23-27-LSR05","RBP",1.90918830920368
"23-27-LSR06","RBP",7.73467170879759
"23-27-SB02","RBP",33.590916292849
"23-27-SB03","RBP",32.8649278298668
"23-27-SB04","RBP",13.0323376490862
"23-27-SB05","RBP",24.7373629022558
"23-27-SB06","RBP",33.8672618895781
"23-27-SB07","RBP",16.854520189781
"23-27-SD01","RBP",29.3865007051205
"23-27-SD02","RBP",29.0480230740355
"23-27-SD03","RBP",35.7885822331377
"23-27-SD05","RBP",28.9101551083915
"23-27-SD06","RBP",19.1760930650349
"23-27-SM01","RBP",44.7345237791558
"23-27-SM03","RBP",36.383304448274
"23-27-SM04","RBP",37.6546247918335
"23-27-SSC01","RBP",35.9977705423413
"23-27-SSC02","RBP",20.8601551083915
"23-27-SSC03","RBP",27.165790027002
"23-27-WD01","RBP",48.5421356237306
"23-27-WD02","RBP",54.6119841047141
"23-27-WD03","RBP",55.3684812204597
"23-28-CS03","RBP",34.4163996924429
"23-28-CS05","RBP",20.69152595829
"23-28-CS06","RBP",24.4486327394765
"23-28-LSJ01","RBP",11.7305086527633
"23-28-LSJ02","RBP",19.8817279836453
"23-28-LSJ03","RBP",11.6388347648318
"23-28-LSJ04","RBP",27.0879725676967
"23-28-LSJ05","RBP",16.9068542494924
